Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-04-11 00:00:00-04:00,523.010009765625,536.4299926757812,520.0700073242188,533.9400024414062,97866300,0.0,0.0,0.0
2025-04-14 00:00:00-04:00,544.0499877929688,544.280029296875,533.8599853515625,539.1199951171875,68034000,0.0,0.0,0.0
2025-04-15 00:00:00-04:00,539.6699829101562,543.22998046875,536.8099975585938,537.6099853515625,56892900,0.0,0.0,0.0
2025-04-16 00:00:00-04:00,531.6799926757812,537.8900146484375,520.2899780273438,525.6599731445312,83484800,0.0,0.0,0.0
2025-04-17 00:00:00-04:00,527.6400146484375,531.1699829101562,523.9099731445312,526.4099731445312,79741000,0.0,0.0,0.0
2025-04-21 00:00:00-04:00,521.1599731445312,521.7000122070312,508.4599914550781,513.8800048828125,69368100,0.0,0.0,0.0
2025-04-22 00:00:00-04:00,520.1400146484375,529.2999877929688,519.1900024414062,527.25,75948100,0.0,0.0,0.0
2025-04-23 00:00:00-04:00,540.4299926757812,545.4299926757812,533.8800048828125,535.4199829101562,90590700,0.0,0.0,0.0
2025-04-24 00:00:00-04:00,536.719970703125,547.4299926757812,535.4500122070312,546.6900024414062,64150400,0.0,0.0,0.0
2025-04-25 00:00:00-04:00,546.6500244140625,551.0499877929688,543.6900024414062,550.6400146484375,61119600,0.0,0.0,0.0
2025-04-28 00:00:00-04:00,551.3900146484375,553.5499877929688,545.02001953125,550.8499755859375,47613800,0.0,0.0,0.0
2025-04-29 00:00:00-04:00,548.9099731445312,555.4500122070312,548.5499877929688,554.3200073242188,47775100,0.0,0.0,0.0
2025-04-30 00:00:00-04:00,547.5700073242188,556.52001953125,541.52001953125,554.5399780273438,93101500,0.0,0.0,0.0
2025-05-01 00:00:00-04:00,560.3699951171875,564.0700073242188,557.8599853515625,558.469970703125,63186100,0.0,0.0,0.0
2025-05-02 00:00:00-04:00,564.72998046875,568.3800048828125,562.3800048828125,566.760009765625,60717300,0.0,0.0,0.0
2025-05-05 00:00:00-04:00,562.5700073242188,566.6500244140625,561.7000122070312,563.510009765625,38659200,0.0,0.0,0.0
2025-05-06 00:00:00-04:00,557.9299926757812,563.3499755859375,556.9600219726562,558.7999877929688,48264700,0.0,0.0,0.0
2025-05-07 00:00:00-04:00,560.1500244140625,563.8200073242188,556.0399780273438,561.1500244140625,55588000,0.0,0.0,0.0
2025-05-08 00:00:00-04:00,565.239990234375,570.3099975585938,561.7000122070312,565.0599975585938,65130800,0.0,0.0,0.0
2025-05-09 00:00:00-04:00,566.47998046875,567.5,562.760009765625,564.3400268554688,37603400,0.0,0.0,0.0
2025-05-12 00:00:00-04:00,581.469970703125,583.0,577.0399780273438,582.989990234375,78993600,0.0,0.0,0.0
2025-05-13 00:00:00-04:00,583.4099731445312,589.0800170898438,582.8400268554688,586.8400268554688,67947200,0.0,0.0,0.0
2025-05-14 00:00:00-04:00,587.8099975585938,588.97998046875,585.5399780273438,587.5900268554688,66283500,0.0,0.0,0.0
2025-05-15 00:00:00-04:00,585.5599975585938,590.969970703125,585.0999755859375,590.4600219726562,71268100,0.0,0.0,0.0
2025-05-16 00:00:00-04:00,591.25,594.5,589.280029296875,594.2000122070312,76052100,0.0,0.0,0.0
2025-05-19 00:00:00-04:00,588.0999755859375,595.5399780273438,588.0999755859375,594.8499755859375,68168500,0.0,0.0,0.0
2025-05-20 00:00:00-04:00,593.0900268554688,594.0499877929688,589.5999755859375,592.8499755859375,60614500,0.0,0.0,0.0
2025-05-21 00:00:00-04:00,588.4400024414062,592.5800170898438,581.8200073242188,582.8599853515625,95197700,0.0,0.0,0.0
2025-05-22 00:00:00-04:00,582.6599731445312,586.6199951171875,581.4099731445312,583.0900268554688,70860400,0.0,0.0,0.0
2025-05-23 00:00:00-04:00,575.97998046875,581.8099975585938,575.5999755859375,579.1099853515625,76029000,0.0,0.0,0.0
2025-05-27 00:00:00-04:00,586.0700073242188,591.3099975585938,578.4299926757812,591.1500244140625,72588500,0.0,0.0,0.0
2025-05-28 00:00:00-04:00,591.5599975585938,592.77001953125,586.989990234375,587.72998046875,68445500,0.0,0.0,0.0
2025-05-29 00:00:00-04:00,593.0599975585938,593.2000122070312,586.0700073242188,590.0499877929688,70073800,0.0,0.0,0.0
2025-05-30 00:00:00-04:00,588.9299926757812,591.1300048828125,583.239990234375,589.3900146484375,90471200,0.0,0.0,0.0
